Date,NVDA,AMD,QCOM,AMAT,ASML,2330.TW,2454.TW,3711.TW,6488.TWO,8035.T,6857.T,4063.T,005930.KS,000660.KS,042700.KS
2019-01-07,0.052940748950192074,0.08263156288548523,-0.0028268419024800595,0.017803984467175793,0.022846669501994876,0.02669976208855962,0.011839347750476792,-0.0010337686122575684,0.0691774550092199,0.0565281610824393,0.03865980191255369,0.035721794981650845,0.043737527490294026,0.015642973209713196,0.046732028956985916
2019-01-08,-0.024895469859222752,0.008750622646876982,-0.008681664381110177,-0.04052492421560283,-0.007361007523054686,-0.010032915612086524,0.013040557019534882,0.0029847610005779845,-0.006140294557828274,0.014943641923639284,-0.00574979338664694,0.004799251724650233,-0.018536057157319097,0.006711332503650302,0.016332375382867692
2019-01-09,0.019666744155428573,-0.02698792606951239,0.011796353023941109,0.0422365575077317,0.04148820833875311,0.020896156548587674,0.01758848503147803,0.01949724702264155,0.019827459650312296,0.014860165564001049,-0.025999489166859235,0.0050770447162609145,0.035059262284641735,0.0698681426216492,-0.0027817918797955477
2019-01-10,0.018585985133724003,-0.0222882987140276,0.0033562003439080446,0.013411121245002322,-0.0019025208552533313,0.005747140994391442,0.0034189554466939054,0.01589485249324074,0.057755688032225194,0.03162084983735736,0.028443746521716218,-0.014570210706194686,0.007188704799984791,0.028913940815656902,0.015855250108819163
2019-01-11,0.02478822539072989,0.026849072583119193,0.012324125307152878,0.0005752855797294121,-0.0036284868943028403,0.01857805686627012,0.004413171842559516,0.008293794074504701,-0.01758615137036801,0.009065540644344283,0.03610927433515765,0.0030710401096605278,0.019519948763904393,-0.001169925684384343,-0.0035169026704355844
2019-01-14,0.010817763897497779,-0.0019734047668471533,-0.0034783228516389597,-0.026451713512291364,-0.020552782766995237,-0.009295786652227522,0.017351190530294103,-0.005434522261102415,-0.07673163001996808,-0.0014752591956265215,-0.0014752591956264105,-0.0014752591956264105,-0.012923253309336302,-0.04783099958378145,-0.01946320781691091
2019-01-15,-0.003788991552611587,0.007414711909266458,-0.02739967495299689,-0.003249023211655766,0.003402790368823183,0.009867184440417676,0.004912591322462356,0.0210956406611853,0.021006816624591362,0.03414576787795287,0.028731592459276367,0.02368229314424508,0.023107153709355455,0.027472712051487935,0.005243146154899847
2019-01-16,-0.006872285503762177,-0.031893996334483865,-0.00825420541643529,-0.0032591253127516318,-0.012246498057464472,-0.01564567106635839,0.01736531514742179,0.00019464509443012368,0.007562717907520167,-0.007195043915993127,-0.04257672438096127,-0.02050277749907148,0.008156738835491728,0.012139047151294768,0.001014927115155162
2019-01-17,0.019349535369468818,0.0263558271580544,-0.0090464556762897,0.02675416468704106,0.0016530068153248756,0.015869355635127924,0.002047772682972848,-0.006502209948652693,-0.0034480347889352947,-0.023303022034174448,-0.03716615908815246,0.0008889450956131029,0.015346492914829035,0.004792901198870103,-0.01599569433508885
2019-01-18,0.034339261864969606,0.025679034951292534,0.009129041142351024,0.033873567033947394,0.032753517071541394,-0.011063463981530575,0.02746523385511379,0.010012815039964762,-0.03503286981461429,0.03703383546554484,0.017477732576771654,-0.01681630057997152,0.006741383476869256,-0.006203625064217122,0.012355781171895508
