Date,BF_Energy,QAOA_Gap,QAOA_Viol
2019-05-13,-0.008988357900934026,49.62%,0
2019-06-19,-0.004354539417298924,87.00%,2
2019-06-24,-0.02380652376525537,53.12%,1
2020-03-04,-0.006620180120709542,71.42%,0
2026-04-08,0.0049289990943342885,55.90%,1
