Date,NVDA,AMD,QCOM,AMAT,ASML,2330.TW,2454.TW,3711.TW,6488.TWO,8035.T,6857.T,4063.T,005930.KS,000660.KS,042700.KS
2019-01-04,3.3723089694976807,19.0,47.3065185546875,31.192306518554688,143.15225219726562,5.675441244696514,4.76012058759166,1.2961273772408937,6.214721729998471,30.245569865702898,4.545663350697528,13.18478055795185,27.766997861065583,48.164144022814725,2.817903674868938
2019-01-07,3.550842046737671,20.56999969482422,47.17279815673828,31.74767303466797,146.42283630371094,5.826975608021186,4.816478282200348,1.2947874975881641,6.6446430476732425,31.95529645401399,4.721400633118385,13.655766835608846,28.981468513275857,48.91758490508168,2.949589803667696
2019-01-08,3.462442398071289,20.75,46.763248443603516,30.461090087890625,145.34506225585938,5.768514387593584,4.879287052970769,1.2986521126194555,6.60384331715568,32.43282724509283,4.694251880165063,13.721299789920511,28.444269884727532,49.245876436723485,2.99776383025229
2019-01-09,3.5305373668670654,20.190000534057617,47.31488037109375,31.74767303466797,151.37515258789062,5.889053783381619,4.965105782151894,1.323972288729851,6.7347806843071245,32.914786672098195,4.572203743043655,13.790966823889313,29.441492601736872,52.686586868259894,2.989424457094473
2019-01-10,3.596156120300293,19.739999771118164,47.47367477416992,32.173431396484375,151.087158203125,5.922899294092834,4.982081257609194,1.3450168243040097,7.123752710088912,33.95557562686748,4.702253770287737,13.590027297250622,29.653152803671265,54.20996372274773,3.0368227477849814
2019-01-11,3.685298204421997,20.270000457763672,48.058746337890625,32.19194412231445,150.53892517089844,6.032935367408934,5.004069390582919,1.3561720660392909,6.9984738236085136,34.26340130054347,4.872049305257863,13.63176620228414,30.23198070402496,54.146542093838946,3.0261418829668765
2019-01-14,3.7251648902893066,20.229999542236328,47.89158630371094,31.34040641784668,147.4449005126953,5.976854330628169,5.09089489756659,1.3488019439021655,6.461468347466316,34.21285390270141,4.864861769718736,13.611655813841592,29.84127476068009,51.55665536939693,2.967243446905142
2019-01-15,3.711050510406494,20.3799991607666,46.57936096191406,31.238582611083984,147.9466094970703,6.035829006941527,5.115905236554782,1.3772556745385471,6.5972038914514854,35.381080398383375,5.004636980369515,13.934007605008661,30.530832219251337,52.97306358622995,2.9828017943683154
2019-01-16,3.6855456829071045,19.729999542236328,46.194908142089844,31.13677406311035,146.1348114013672,5.94139487401587,5.204743499713849,1.377523750599372,6.647095574701088,35.12650747679841,4.791555952991064,13.64832172838192,30.779864184816887,53.61610953961418,2.9858289029735716
2019-01-17,3.7568604946136475,20.25,45.77700424194336,31.969804763793945,146.37637329101562,6.03568071857416,5.2154016312744425,1.3685669683044714,6.624176489114504,34.307951371488535,4.613471121486055,13.66045770068749,31.252216593540357,53.87308624452862,2.938068496504733
2019-01-18,3.885868549346924,20.770000457763672,46.194908142089844,33.052734375,151.1707763671875,5.968905025829981,5.358644533246844,1.3822699917696981,6.392112076640928,35.57851336368978,4.694106942229701,13.430734899840651,31.46290328519515,53.5388708766207,2.9743706279155853
2019-01-21,3.885868549346924,20.770000457763672,46.194908142089844,33.052734375,151.1707763671875,6.032111805135777,5.365100509660755,1.3811051011946323,6.4717205108996385,36.31436129590544,4.583066029836741,13.495168152307091,31.649610646689954,55.26948176150603,3.046161376255737
2019-01-22,3.6838133335113525,19.760000228881836,45.37582778930664,31.877233505249023,148.19752502441406,6.082167463680934,5.306286985922092,1.3730350466360215,6.527564388152249,35.67346051727393,4.532856346018753,13.339281204864168,31.024084300171133,54.62027052593281,2.9798109714193313
2019-01-23,3.6966891288757324,19.799999237060547,43.26958465576172,31.75692367553711,150.6318359375,6.013787244861936,5.2841881438737675,1.3682965518421446,6.454557050922939,35.34971286254274,4.502182772115354,13.462369759426581,30.9743998529302,54.891910286126155,2.96535359129091
2019-01-24,3.90840220451355,20.850000381469727,42.46721267700195,35.0057258605957,156.931396484375,6.072069939331133,5.364231334725594,1.3785328027436943,6.409971172197337,36.90914608292539,4.7731637509681155,13.58176643496929,31.884752551416398,58.180460309872224,2.957657275649297
2019-01-25,3.9656012058258057,21.93000030517578,42.87675094604492,36.27378845214844,164.1415252685547,6.1643900475373,5.43820039800164,1.4200682923960337,7.037607028116866,38.6010660003851,5.001307474546989,14.174211411575472,33.10207385733304,61.48643082982028,3.0109707815620146
2019-01-28,3.4173758029937744,20.18000030517578,42.32513427734375,35.820247650146484,161.8094024658203,6.279983970023049,5.478620776012874,1.4277448540469604,7.026853689689759,38.921357610986945,5.014475973928113,14.292206224902413,33.58450127080827,59.641251010783364,3.1289529190593726
2019-01-29,3.258652925491333,19.25,41.288719177246094,35.357460021972656,162.2367706298828,6.08587541682983,5.398416618143514,1.4099125009703082,6.874749555176043,38.03168181316663,4.789815742024868,14.25951198801129,33.86876933888408,60.87826524745159,3.0586297293390237
2019-01-30,3.4020237922668457,23.09000015258789,41.93229675292969,36.65326690673828,164.63394165039062,6.046221648397591,5.34465791500107,1.4125874351201866,7.058870156348553,38.36367466315425,4.7701911340546195,14.532878104494612,34.59525021372979,63.054829157580855,3.145771633609756
2019-01-31,3.5595078468322754,24.40999984741211,41.389034271240234,36.171966552734375,162.6269989013672,6.057636037423096,5.3547478535110535,1.4152541951985695,7.072196278798339,39.360505526394675,5.167487401253875,14.43683335295853,34.6840551735798,61.88434118575293,3.3033992124098286
2019-02-01,3.583775043487549,24.510000228881836,41.46424102783203,36.38486862182617,165.76756286621094,6.06493985505742,5.3612041842576055,1.416960596587508,7.080723372795961,38.830296162290686,5.186544244760819,14.360486852991164,34.754444685804174,63.41334035009265,3.3742927873146598
2019-02-04,3.693965435028076,24.1299991607666,41.53110885620117,36.00537109375,166.83602905273438,6.049759335424516,5.347785112128265,1.4134139500139875,7.063000351175844,39.43429796089836,5.212493528769491,14.4172833478037,34.544668694222125,63.03058077871316,3.3539257343593802
2019-02-05,3.7130320072174072,23.309999465942383,42.40034484863281,36.2089958190918,168.7407684326172,6.047007401828903,5.345352494779999,1.4127710118212604,7.059787511313204,38.997238567252126,5.276752732708297,14.510877824779183,34.4583940137092,62.87316305190378,3.34554936596062
2019-02-06,3.788555383682251,23.260000228881836,42.709590911865234,37.28267288208008,173.6187286376953,6.056453149635966,5.353702220231017,1.4149778354283815,7.070815275622397,38.91698893289865,5.32742399526113,14.597736448527698,34.53231999074679,63.008049199128365,3.3527268045118115
2019-02-07,3.6503841876983643,22.670000076293945,42.24989700317383,36.949466705322266,168.2669219970703,6.045043213802148,5.343616218193691,1.4123121157555594,7.057494352204955,39.566423615312125,5.230574299011995,14.412499847376033,34.33065520815229,63.505853090959434,3.323503467907827
2019-02-08,3.6689558029174805,23.049999237060547,42.0325927734375,36.819881439208984,168.23902893066406,6.040922681741539,5.339973805531298,1.4113494299406306,7.052683694825463,37.54527289079099,5.041780661087237,14.024015952244477,33.22753058954394,60.74151140155728,3.280466142936596
2019-02-11,3.6263656616210938,22.959999084472656,42.48393249511719,36.93095397949219,165.86972045898438,6.229837369131252,5.700345501169783,1.3825839388123542,7.09855855931681,37.52680939144374,5.039301283344645,14.017119414026913,33.401721320983235,61.28480003496172,3.2012391406418756
2019-02-12,3.7432408332824707,22.81999969482422,43.17765426635742,37.662174224853516,169.83717346191406,6.272885202472555,5.645969738531338,1.4152363405469373,7.655687165922895,38.966426587223296,5.261958505631067,14.3848406144178,34.11607692745051,62.654086450718545,3.472634384544372
2019-02-13,3.78558349609375,22.850000381469727,43.11914825439453,37.81025695800781,169.3911590576172,6.262852365813513,5.694535810359296,1.402668851024376,8.394622456218073,40.16713410213386,5.481084085779482,14.644485469598331,34.37141059578548,63.166755034977946,3.6183959942023414
2019-02-14,3.8264412879943848,23.1299991607666,43.10243225097656,37.6806755065918,171.26800537109375,6.196082392863256,5.606657000508119,1.381149927485264,8.572574054580514,39.85862203183336,5.54714741467012,14.653998765656189,35.23102001691595,63.9662393647981,3.644151972393937
2019-02-15,3.8960213661193848,23.68000030517578,43.445106506347656,36.19047546386719,171.30516052246094,6.202314488201061,5.535415135020063,1.38489022889917,8.629815063728875,39.47622949252566,5.539686579028504,14.58869745577111,34.01689964572239,60.743490070468205,3.552052929806382
2019-02-18,3.8960213661193848,23.68000030517578,43.445106506347656,36.19047546386719,171.30516052246094,6.286118387095696,5.569990817340852,1.3782390168054919,8.608021041004282,39.44212652012218,5.58369648585118,14.727941128269038,34.218385123891636,61.64762055596656,3.5737290286748227
2019-02-19,3.878687620162964,23.950000762939453,43.47017288208008,36.37560272216797,169.5305633544922,6.257568431963642,5.492018199836262,1.3779706623075787,8.4604729887802,39.24644038405606,5.563799896573971,14.77085726049065,34.06440102400603,60.87808538928233,3.4790031641343386
2019-02-20,3.925983428955078,23.950000762939453,43.83794021606445,36.28256607055664,170.82203674316406,6.415978127366447,5.619954564214299,1.4220970858384365,8.568565525566616,38.868600216671716,5.56887517212747,14.880393583254909,34.85734955407687,62.68959393678212,3.5492820959230835
2019-02-21,3.857144832611084,23.920000076293945,43.75434494018555,36.124420166015625,169.59555053710938,6.467967419967795,5.694535810359296,1.4097293611521793,8.272961462290716,39.14763699882699,5.4378745559880395,14.78635339529239,34.88517933689044,63.5007597019522,3.56061063452144
2019-02-22,3.941831111907959,24.360000610351562,44.39792251586914,36.68260192871094,171.78834533691406,6.466497386042437,5.803149531204308,1.4070559080618195,8.210262042294229,38.387167996292945,5.362509741936289,14.758347949539923,34.958040455261504,63.36349131836477,3.507991986567108
2019-02-25,3.929450750350952,24.709999084472656,44.28927993774414,36.896583557128906,173.73953247070312,6.51851682752716,6.220311144661666,1.4612878694499345,8.065759143310325,38.66218778729382,5.361466007415882,14.797802730029971,35.16388447899078,62.391626506259975,3.6119156002786177
2019-02-26,3.890078544616699,24.209999084472656,44.32270050048828,36.8221549987793,172.2250213623047,6.56216187770231,6.09057618993481,1.5208041557920595,8.093284891788453,38.24561050100855,5.3461875458647565,14.60224949177332,34.87710080154264,62.51076484943022,3.5832349770577294
2019-02-27,3.848231792449951,23.479999542236328,44.331058502197266,36.0778923034668,171.07290649414062,6.544628192923478,6.164061007121997,1.482210638940389,8.161636584872857,38.191781321053725,5.341044342905662,14.581671841905717,34.96786646781356,61.42332641641761,3.567840658099507
2019-02-28,3.8236918449401855,23.530000686645508,44.62359619140625,35.66856002807617,169.91146850585938,6.53952463595094,6.159254219691953,1.4810547984223115,8.155272070942932,37.49242634869792,5.400251491579602,14.338813331916583,33.70951600012217,58.29780318315506,3.408837251512031
2019-03-01,3.877976179122925,23.68000030517578,45.30058670043945,35.873233795166016,171.99276733398438,6.5293413636060444,6.149663100053721,1.4787485169707306,8.142572775326155,37.904738114462496,5.597102999256292,14.402875898761183,33.43605472978769,57.82487466895992,3.3811837851982873
2019-03-04,3.8861563205718994,23.3700008392334,44.94954299926758,36.356998443603516,172.5037841796875,6.431220124807414,6.081405568181389,1.4993236108880121,7.908585320312041,38.982502788656824,5.763349872389046,14.590049658061533,33.174280790412304,57.774370836505675,3.328595874606265
2019-03-05,3.8797109127044678,23.5,45.083282470703125,36.21745300292969,171.45387268066406,6.36274050836118,5.99339398526459,1.49222516363039,7.774701535311155,38.130485805075274,5.614780044959895,14.449998515442976,32.6916016946906,57.3764834899676,3.2920878551321957
2019-03-06,3.768911838531494,22.40999984741211,46.33464813232422,35.41736602783203,168.32264709472656,6.391706801105359,6.1486659169666735,1.5043651557409246,7.8982293704592585,37.793592088661555,5.600134765558397,14.231582335890877,32.56319095409302,56.15644597830222,3.305940820500703
2019-03-07,3.6997551918029785,22.079999923706055,45.68360137939453,34.95220947265625,164.94058227539062,6.391914014950559,6.017103835701613,1.4832579412278761,7.448880502249699,36.75753462764812,5.473598507243356,13.936910800272031,32.87285797471162,56.11658093944099,3.30359395796362
2019-03-08,3.733961343765259,22.010000228881836,45.260833740234375,35.11036682128906,166.16705322265625,6.266796649677006,5.85953750544073,1.4888937532063509,7.539167482146107,35.41449356660688,5.162994327810405,13.685180218932468,32.21862962393568,54.66848622441301,3.1927080365033422
2019-03-11,3.9942286014556885,22.959999084472656,45.95417404174805,35.82670593261719,168.25758361816406,6.2836725194049,5.91736279960812,1.4591677919082753,7.506691773616845,36.12214119214988,5.104691253354001,13.804372931502078,32.08026333068539,54.53887120003617,3.23040186346502
2019-03-12,4.028434753417969,23.489999771118164,46.36846923828125,36.01275634765625,169.5769805908203,6.415616268513612,5.924293340982802,1.4745866717229832,7.356166683460039,37.04740808420332,5.1479010394743145,14.042924884843371,32.910683357104645,55.60096674305439,3.288519559187967
2019-03-13,4.179637432098389,23.3799991607666,46.8335075378418,35.910438537597656,169.59555053710938,6.461706333265879,5.983885938733024,1.4781267485599168,7.289349062841356,36.332266692256546,5.012490695107991,14.273915731607843,32.421371979889535,55.03215083800092,3.286512588098061
