Date,BF_Energy,SA_Gap,SA_Viol,QAOA_Gap,QAOA_Viol
2019-05-13,-0.044464493404256254,0.00%,0,449848.55%,1
2019-06-19,-0.0047444427842016435,0.00%,0,31.49%,0
2019-06-24,-0.015891601294372403,0.00%,0,1321441.44%,2
2020-03-04,-0.000838275140027244,0.00%,0,23858743.17%,1
2026-04-08,0.0026566063051156157,0.00%,0,7904834.43%,2
